table,rows_in,rows_out,runtime_s,timestamp
analysis,20,20,0.32,2026-06-19 16:44:33.853168
balancesheet,1312,1312,0.13,2026-06-19 16:44:33.986020
cashflow,1187,1187,0.1,2026-06-19 16:44:34.088718
companies,92,92,0.05,2026-06-19 16:44:34.136129
documents,1585,1585,0.08,2026-06-19 16:44:34.212957
financial_ratios,1184,1184,0.14,2026-06-19 16:44:34.356572
market_cap,552,552,0.08,2026-06-19 16:44:34.434237
peer_groups,56,56,0.03,2026-06-19 16:44:34.464643
profitandloss,1276,1276,0.16,2026-06-19 16:44:34.621006
prosandcons,16,16,0.03,2026-06-19 16:44:34.653909
sectors,92,92,0.04,2026-06-19 16:44:34.690002
stock_prices,5520,5520,0.41,2026-06-19 16:44:35.100347
